league,team,city,state_province,arena,lat,long,abbreviation,color,alternate_color,logo
NFL,Dallas Cowboys,Arlington,Texas,AT&T Stadium,32.74778,-97.09278,DAL,002244,B0B7BC,https://a.espncdn.com/i/teamlogos/nfl/500/dal.png
NFL,Carolina Panthers,Charlotte,North Carolina,Bank of America Stadium,35.22583,-80.85278,CAR,0085CA,000000,https://a.espncdn.com/i/teamlogos/nfl/500-dark/car.png
NFL,New Orleans Saints,New Orleans,Louisiana,Caesars Superdome,29.95083,-90.08111,NO,D3BC8D,000000,https://a.espncdn.com/i/teamlogos/nfl/500/no.png
NFL,Denver Broncos,Denver,Colorado,Empower Field at Mile High,39.74389,-105.02,DEN,002244,FB4F14,https://a.espncdn.com/i/teamlogos/nfl/500/den.png
NFL,Jacksonville Jaguars,Jacksonville,Florida,EverBank Stadium,30.32389,-81.6375,JAX,006778,000000,https://a.espncdn.com/i/teamlogos/nfl/500/jax.png
NFL,Detroit Lions,Detroit,Michigan,Ford Field,42.34,-83.04556,DET,0076B6,B0B7BC,https://a.espncdn.com/i/teamlogos/nfl/500/det.png
NFL,New England Patriots,Foxborough,Massachusetts,Gillette Stadium,42.091,-71.264,NE,002244,C60C30,https://a.espncdn.com/i/teamlogos/nfl/500/ne.png
NFL,Miami Dolphins,Miami Gardens,Florida,Hard Rock Stadium,25.95806,-80.23889,MIA,008E97,F58220,https://a.espncdn.com/i/teamlogos/nfl/500/mia.png
NFL,Buffalo Bills,Orchard Park,New York,Highmark Stadium,42.77306,-78.79222,BUF,00338D,C60C30,https://a.espncdn.com/i/teamlogos/nfl/500/buf.png
NFL,Cleveland Browns,Cleveland,Ohio,Huntington Bank Field,41.50611,-81.69944,CLE,FF3C00,311D00,https://a.espncdn.com/i/teamlogos/nfl/500/cle.png
NFL,Green Bay Packers,Green Bay,Wisconsin,Lambeau Field,44.50139,-88.06222,GB,203731,FFB612,https://a.espncdn.com/i/teamlogos/nfl/500/gb.png
NFL,San Francisco 49ers,Santa Clara,California,Levi's Stadium,37.403,-121.97,SF,AA0000,B3995D,https://a.espncdn.com/i/teamlogos/nfl/500/sf.png
NFL,Philadelphia Eagles,Philadelphia,Pennsylvania,Lincoln Financial Field,39.90083,-75.1675,PHI,004C54,A5ACAF,https://a.espncdn.com/i/teamlogos/nfl/500/phi.png
NFL,Indianapolis Colts,Indianapolis,Indiana,Lucas Oil Stadium,39.760056,-86.163806,IND,002C5F,a5acaf,https://a.espncdn.com/i/teamlogos/nfl/500/ind.png
NFL,Seattle Seahawks,Seattle,Washington,Lumen Field,47.5952,-122.3316,SEA,002244,69be28,https://a.espncdn.com/i/teamlogos/nfl/500/sea.png
NFL,Baltimore Ravens,Baltimore,Maryland,M&T Bank Stadium,39.27806,-76.62278,BAL,241773,9E7C0C,https://a.espncdn.com/i/teamlogos/nfl/500/bal.png
NFL,Atlanta Falcons,Atlanta,Georgia,Mercedes-Benz Stadium,33.75556,-84.4,ATL,A71930,000000,https://a.espncdn.com/i/teamlogos/nfl/500/atl.png
NFL,New York Giants,East Rutherford,New Jersey,MetLife Stadium,40.813528,-74.074361,NYG,0B2265,A71930,https://a.espncdn.com/i/teamlogos/nfl/500/nyg.png
NFL,New York Jets,East Rutherford,New Jersey,MetLife Stadium,40.813528,-74.074361,NYJ,003F2D,000000,https://a.espncdn.com/i/teamlogos/nfl/500/nyj.png
NFL,Tennessee Titans,Nashville,Tennessee,Nissan Stadium,36.16639,-86.77139,TEN,002244,4B92DB,https://a.espncdn.com/i/teamlogos/nfl/500/ten.png
NFL,Washington Commanders,Landover,Maryland,Northwest Stadium,38.90778,-76.86444,WAS,5A1414,FFB612,https://a.espncdn.com/i/teamlogos/nfl/500/wsh.png
NFL,Houston Texans,Houston,Texas,NRG Stadium,29.68472,-95.41083,HOU,03202F,A71930,https://a.espncdn.com/i/teamlogos/nfl/500/hou.png
NFL,Cincinnati Bengals,Cincinnati,Ohio,Paycor Stadium,39.095,-84.516,CIN,FB4F14,000000,https://a.espncdn.com/i/teamlogos/nfl/500/cin.png
NFL,Tampa Bay Buccaneers,Tampa,Florida,Raymond James Stadium,27.97583,-82.50333,TB,A71930,322F2B,https://a.espncdn.com/i/teamlogos/nfl/500/tb.png
NFL,Los Angeles Rams,Inglewood,California,SoFi Stadium,33.953,-118.339,LAR,003594,FFD100,https://a.espncdn.com/i/teamlogos/nfl/500/lar.png
NFL,Los Angeles Chargers,Inglewood,California,SoFi Stadium,33.953,-118.339,LAC,007BC7,ffc20e,https://a.espncdn.com/i/teamlogos/nfl/500/lac.png
NFL,Chicago Bears,Chicago,Illinois,Soldier Field,41.8623,-87.6167,CHI,0B162A,C83803,https://a.espncdn.com/i/teamlogos/nfl/500/chi.png
NFL,Arizona Cardinals,Glendale,Arizona,State Farm Stadium,33.528,-112.263,ARI,97233F,000000,https://a.espncdn.com/i/teamlogos/nfl/500/ari.png
